word,documents,data
"""Cookie",4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
"""Ελλάδα",4,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3], ['httpswww.auth.gren.txt', 3]]"
(17,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
(Aristotelian,1,"[['httpswww.auth.gren.txt', 11]]"
(Single,1,"[['httpsmy.auth.gr.txt', 1]]"
"(Ιατρικής,",3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
(Ραδιοηλεκτρολογία)”...,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
-Taras,1,"[['httpswww.auth.gren.txt', 5]]"
-Yerevan,1,"[['httpswww.auth.gren.txt', 4]]"
.auth,1,"[['httpsmy.auth.gr.txt', 1]]"
05,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 4]]"
06,1,"[['httpswww.auth.gren.txt', 2]]"
08,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
10,4,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4], ['httpswww.auth.gren.txt', 2]]"
11,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
12,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
13,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
17,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
1821”...,3,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4]]"
2016,1,"[['httpswww.auth.gren.txt', 9]]"
2020,3,"[['httpauth.gr#primary.txt', 12], ['httpauth.gr.txt', 12], ['httpswww.auth.gr.txt', 12]]"
2020-2021,3,"[['httpauth.gr#primary.txt', 6], ['httpauth.gr.txt', 6], ['httpswww.auth.gr.txt', 6]]"
"2021""",4,"[['httpauth.gr#primary.txt', 26], ['httpauth.gr.txt', 26], ['httpswww.auth.gr.txt', 26], ['httpswww.auth.gren.txt', 5]]"
2021-22...,3,"[['httpauth.gr#primary.txt', 24], ['httpauth.gr.txt', 24], ['httpswww.auth.gr.txt', 24]]"
22,1,"[['httpswww.auth.gren.txt', 2]]"
23,3,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4]]"
24,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
27,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
28,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
29,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
295,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
3.0,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
33.4,1,"[['httpswww.auth.gren.txt', 1]]"
40,1,"[['httpswww.auth.gren.txt', 1]]"
407/80,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
430.000,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
45,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
4ο,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
61,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
A.Π.Θ.,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
ACCEPT,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
ALL,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
ARISTOTLE,1,"[['httpswww.auth.gren.txt', 3]]"
AUTH,1,"[['httpswww.auth.gren.txt', 7]]"
AUTHnet,1,"[['httpsmy.auth.gr.txt', 1]]"
Academic,1,"[['httpswww.auth.gren.txt', 4]]"
Accessibility,1,"[['httpswww.auth.gren.txt', 1]]"
Administration,1,"[['httpswww.auth.gren.txt', 23]]"
Administrative,1,"[['httpswww.auth.gren.txt', 16]]"
All,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
AllManage,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
"All”,",4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Always,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
April,1,"[['httpswww.auth.gren.txt', 7]]"
Archaeological,1,"[['httpswww.auth.gren.txt', 4]]"
Archives,1,"[['httpswww.auth.gren.txt', 3]]"
Armenian,1,"[['httpswww.auth.gren.txt', 5]]"
Assurance,1,"[['httpswww.auth.gren.txt', 5]]"
Attribution-ShareAlike,4,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3], ['httpswww.auth.gren.txt', 3]]"
Authorities,1,"[['httpswww.auth.gren.txt', 6]]"
Background,1,"[['httpswww.auth.gren.txt', 1]]"
Bodies,1,"[['httpswww.auth.gren.txt', 2]]"
By,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Byzantine,1,"[['httpswww.auth.gren.txt', 14]]"
COH-FIT,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Calendar,1,"[['httpswww.auth.gren.txt', 3]]"
Career,1,"[['httpswww.auth.gren.txt', 5]]"
Centre,1,"[['httpswww.auth.gren.txt', 6]]"
Centres,1,"[['httpswww.auth.gren.txt', 5]]"
Charter,1,"[['httpswww.auth.gren.txt', 3]]"
Close,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Collections,1,"[['httpswww.auth.gren.txt', 7]]"
Committee,1,"[['httpswww.auth.gren.txt', 2]]"
Commons,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
Communications,1,"[['httpswww.auth.gren.txt', 8]]"
Conference,1,"[['httpswww.auth.gren.txt', 9]]"
Contact,1,"[['httpswww.auth.gren.txt', 3]]"
Context,1,"[['httpswww.auth.gren.txt', 5]]"
Contrast,1,"[['httpswww.auth.gren.txt', 2]]"
Cookie,1,"[['httpswww.auth.gren.txt', 1]]"
Cookies,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Covid19,4,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4], ['httpswww.auth.gren.txt', 2]]"
